Region/Country/Area,,Year,Series,Capital City,Capital City footnote,Value,Footnotes,Source,
2,Africa,2015,Urban population (percent growth rate per annum),,,3.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
2,Africa,2015,Rural population (percent growth rate per annum),,,1.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
2,Africa,2018,Urban population (percent),,,42.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
15,Northern Africa,2005,Urban population (percent),,,49.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
15,Northern Africa,2005,Urban population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
15,Northern Africa,2005,Rural population (percent growth rate per annum),,,1.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
15,Northern Africa,2010,Urban population (percent),,,50.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
15,Northern Africa,2010,Urban population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
15,Northern Africa,2010,Rural population (percent growth rate per annum),,,1.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
15,Northern Africa,2015,Urban population (percent),,,51.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
15,Northern Africa,2015,Urban population (percent growth rate per annum),,,2.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
15,Northern Africa,2015,Rural population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
15,Northern Africa,2018,Urban population (percent),,,52,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
202,Sub-Saharan Africa,2005,Urban population (percent),,,33.7,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
202,Sub-Saharan Africa,2005,Urban population (percent growth rate per annum),,,4.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
202,Sub-Saharan Africa,2005,Rural population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
202,Sub-Saharan Africa,2010,Urban population (percent),,,36.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
202,Sub-Saharan Africa,2010,Urban population (percent growth rate per annum),,,4.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
202,Sub-Saharan Africa,2010,Rural population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
202,Sub-Saharan Africa,2015,Urban population (percent),,,38.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
202,Sub-Saharan Africa,2015,Urban population (percent growth rate per annum),,,4.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
202,Sub-Saharan Africa,2015,Rural population (percent growth rate per annum),,,1.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
202,Sub-Saharan Africa,2018,Urban population (percent),,,40.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
14,Eastern Africa,2005,Urban population (percent),,,22.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
14,Eastern Africa,2005,Urban population (percent growth rate per annum),,,4.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
14,Eastern Africa,2005,Rural population (percent growth rate per annum),,,2.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
14,Eastern Africa,2010,Urban population (percent),,,24.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
14,Eastern Africa,2010,Urban population (percent growth rate per annum),,,4.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
14,Eastern Africa,2010,Rural population (percent growth rate per annum),,,2.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
14,Eastern Africa,2015,Urban population (percent),,,26.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
14,Eastern Africa,2015,Urban population (percent growth rate per annum),,,4.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
14,Eastern Africa,2015,Rural population (percent growth rate per annum),,,2.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
14,Eastern Africa,2018,Urban population (percent),,,28,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
17,Middle Africa,2005,Urban population (percent),,,42.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
17,Middle Africa,2005,Urban population (percent growth rate per annum),,,4.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
17,Middle Africa,2005,Rural population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
17,Middle Africa,2010,Urban population (percent),,,45.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
17,Middle Africa,2010,Urban population (percent growth rate per annum),,,4.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
17,Middle Africa,2010,Rural population (percent growth rate per annum),,,2.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
17,Middle Africa,2015,Urban population (percent),,,47.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
17,Middle Africa,2015,Urban population (percent growth rate per annum),,,4.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
17,Middle Africa,2015,Rural population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
17,Middle Africa,2018,Urban population (percent),,,49.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
18,Southern Africa,2005,Urban population (percent),,,56.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
18,Southern Africa,2005,Urban population (percent growth rate per annum),,,2.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
18,Southern Africa,2005,Rural population (percent growth rate per annum),,,0.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
18,Southern Africa,2010,Urban population (percent),,,59.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
18,Southern Africa,2010,Urban population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
18,Southern Africa,2010,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
18,Southern Africa,2015,Urban population (percent),,,62.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
18,Southern Africa,2015,Urban population (percent growth rate per annum),,,2.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
18,Southern Africa,2015,Rural population (percent growth rate per annum),,,0.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
18,Southern Africa,2018,Urban population (percent),,,63.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
11,Western Africa,2005,Urban population (percent),,,37.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
11,Western Africa,2005,Urban population (percent growth rate per annum),,,4.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
11,Western Africa,2005,Rural population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
11,Western Africa,2010,Urban population (percent),,,41.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
11,Western Africa,2010,Urban population (percent growth rate per annum),,,4.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
11,Western Africa,2010,Rural population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
11,Western Africa,2015,Urban population (percent),,,44.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
11,Western Africa,2015,Urban population (percent growth rate per annum),,,4.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
11,Western Africa,2015,Rural population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
11,Western Africa,2018,Urban population (percent),,,46.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
21,Northern America,2005,Urban population (percent),,,80,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
21,Northern America,2005,Urban population (percent growth rate per annum),,,1.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
21,Northern America,2005,Rural population (percent growth rate per annum),,,0.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
21,Northern America,2010,Urban population (percent),,,80.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
21,Northern America,2010,Urban population (percent growth rate per annum),,,1.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
21,Northern America,2010,Rural population (percent growth rate per annum),,,0.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
21,Northern America,2015,Urban population (percent),,,81.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
21,Northern America,2015,Urban population (percent growth rate per annum),,,1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
21,Northern America,2015,Rural population (percent growth rate per annum),,,-0.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
21,Northern America,2018,Urban population (percent),,,82.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
419,Latin America & the Caribbean,2005,Urban population (percent),,,77.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
419,Latin America & the Caribbean,2005,Urban population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
419,Latin America & the Caribbean,2005,Rural population (percent growth rate per annum),,,-0.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
419,Latin America & the Caribbean,2010,Urban population (percent),,,78.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
419,Latin America & the Caribbean,2010,Urban population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
419,Latin America & the Caribbean,2010,Rural population (percent growth rate per annum),,,-0.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
419,Latin America & the Caribbean,2015,Urban population (percent),,,79.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
419,Latin America & the Caribbean,2015,Urban population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
419,Latin America & the Caribbean,2015,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
419,Latin America & the Caribbean,2018,Urban population (percent),,,80.7,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
29,Caribbean,2005,Urban population (percent),,,65.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
29,Caribbean,2005,Urban population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
29,Caribbean,2005,Rural population (percent growth rate per annum),,,-0.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
29,Caribbean,2010,Urban population (percent),,,67.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
29,Caribbean,2010,Urban population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
29,Caribbean,2010,Rural population (percent growth rate per annum),,,-0.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
29,Caribbean,2015,Urban population (percent),,,70,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
29,Caribbean,2015,Urban population (percent growth rate per annum),,,1.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
29,Caribbean,2015,Rural population (percent growth rate per annum),,,-0.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
29,Caribbean,2018,Urban population (percent),,,71.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
13,Central America,2005,Urban population (percent),,,70.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
13,Central America,2005,Urban population (percent growth rate per annum),,,1.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
13,Central America,2005,Rural population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
13,Central America,2010,Urban population (percent),,,72.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
13,Central America,2010,Urban population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
13,Central America,2010,Rural population (percent growth rate per annum),,,0.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
13,Central America,2015,Urban population (percent),,,73.7,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
13,Central America,2015,Urban population (percent growth rate per annum),,,1.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
13,Central America,2015,Rural population (percent growth rate per annum),,,0.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
13,Central America,2018,Urban population (percent),,,74.7,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
5,South America,2005,Urban population (percent),,,81.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
5,South America,2005,Urban population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
5,South America,2005,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
5,South America,2010,Urban population (percent),,,82.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
5,South America,2010,Urban population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
5,South America,2010,Rural population (percent growth rate per annum),,,-0.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
5,South America,2015,Urban population (percent),,,83.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
5,South America,2015,Urban population (percent growth rate per annum),,,1.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
5,South America,2015,Rural population (percent growth rate per annum),,,-0.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
5,South America,2018,Urban population (percent),,,84.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
142,Asia,2005,Urban population (percent),,,41.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
142,Asia,2005,Urban population (percent growth rate per annum),,,3.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
142,Asia,2005,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
142,Asia,2010,Urban population (percent),,,44.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
142,Asia,2010,Urban population (percent growth rate per annum),,,2.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
142,Asia,2010,Rural population (percent growth rate per annum),,,-0.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
142,Asia,2015,Urban population (percent),,,48,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
142,Asia,2015,Urban population (percent growth rate per annum),,,2.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
142,Asia,2015,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
142,Asia,2018,Urban population (percent),,,49.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
143,Central Asia,2005,Urban population (percent),,,46.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
143,Central Asia,2005,Urban population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
143,Central Asia,2005,Rural population (percent growth rate per annum),,,0.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
143,Central Asia,2010,Urban population (percent),,,48,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
143,Central Asia,2010,Urban population (percent growth rate per annum),,,1.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
143,Central Asia,2010,Rural population (percent growth rate per annum),,,1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
143,Central Asia,2015,Urban population (percent),,,48.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
143,Central Asia,2015,Urban population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
143,Central Asia,2015,Rural population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
143,Central Asia,2018,Urban population (percent),,,48.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
30,Eastern Asia,2005,Urban population (percent),,,48.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
30,Eastern Asia,2005,Urban population (percent growth rate per annum),,,3.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
30,Eastern Asia,2005,Rural population (percent growth rate per annum),,,-1.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
30,Eastern Asia,2010,Urban population (percent),,,54.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
30,Eastern Asia,2010,Urban population (percent growth rate per annum),,,2.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
30,Eastern Asia,2010,Rural population (percent growth rate per annum),,,-2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
30,Eastern Asia,2015,Urban population (percent),,,59.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
30,Eastern Asia,2015,Urban population (percent growth rate per annum),,,2.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
30,Eastern Asia,2015,Rural population (percent growth rate per annum),,,-2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
30,Eastern Asia,2018,Urban population (percent),,,62.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
35,South-eastern Asia,2005,Urban population (percent),,,41.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
