Region/Country/Area,,Year,Series,Value,Footnotes,Source,
36,Australia,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),1680,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
36,Australia,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),3826,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
36,Australia,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),3494,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
36,Australia,2018,Net official development assistance to developing countries and multilateral organizations (millions of US$),3149,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
36,Australia,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),2888,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
36,Australia,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),2563,Estimate.,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021."
36,Australia,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.65,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
36,Australia,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.48,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
36,Australia,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.34,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
36,Australia,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.25,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
36,Australia,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.32,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
36,Australia,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.29,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
40,Austria,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),79,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
40,Austria,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),248,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
40,Austria,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),620,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
40,Austria,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),1573,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
40,Austria,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),1208,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
40,Austria,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),1324,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
40,Austria,2018,Net official development assistance to developing countries and multilateral organizations (millions of US$),1167,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
40,Austria,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),1227,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
40,Austria,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),1316,Estimate.,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021."
40,Austria,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.21,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
40,Austria,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.38,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
40,Austria,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.27,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
40,Austria,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.52,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
40,Austria,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.32,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
40,Austria,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.35,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
31,Azerbaijan,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),13,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
31,Azerbaijan,2018,Net official development assistance to developing countries and multilateral organizations (millions of US$),28,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
31,Azerbaijan,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),26,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
31,Azerbaijan,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.02,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
56,Belgium,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),378,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
56,Belgium,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),440,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
56,Belgium,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),1034,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
56,Belgium,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),1963,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
56,Belgium,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),3004,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
56,Belgium,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),1904,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
56,Belgium,2018,Net official development assistance to developing countries and multilateral organizations (millions of US$),2348,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
56,Belgium,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),2208,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
56,Belgium,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),2341,Estimate.,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021."
56,Belgium,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.6,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
56,Belgium,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.55,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
56,Belgium,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.38,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
56,Belgium,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.53,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
56,Belgium,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.64,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
56,Belgium,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.42,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
100,Bulgaria,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),40,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
100,Bulgaria,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),41,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
100,Bulgaria,2018,Net official development assistance to developing countries and multilateral organizations (millions of US$),69,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
100,Bulgaria,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),65,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
100,Bulgaria,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),84,Estimate.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
100,Bulgaria,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.09,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
100,Bulgaria,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.09,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
124,Canada,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),880,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
124,Canada,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),1631,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
124,Canada,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),2067,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
124,Canada,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),3756,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
124,Canada,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),5214,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
124,Canada,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),4277,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
124,Canada,2018,Net official development assistance to developing countries and multilateral organizations (millions of US$),4641,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
124,Canada,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),4535,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
124,Canada,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),4896,Estimate.,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021."
124,Canada,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.54,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
124,Canada,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.49,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
124,Canada,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.38,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
124,Canada,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.34,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
124,Canada,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.34,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
124,Canada,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.28,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
191,Croatia,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),51,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
191,Croatia,2018,Net official development assistance to developing countries and multilateral organizations (millions of US$),79,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
191,Croatia,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),73,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
191,Croatia,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),84,Estimate.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
191,Croatia,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.09,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
196,Cyprus,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),15,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
196,Cyprus,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),51,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
196,Cyprus,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),18,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
196,Cyprus,2018,Net official development assistance to developing countries and multilateral organizations (millions of US$),25,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
196,Cyprus,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),20,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
196,Cyprus,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),20,Estimate.,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021."
196,Cyprus,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.09,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
196,Cyprus,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.23,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
196,Cyprus,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.09,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
203,Czechia,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),135,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
203,Czechia,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),228,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
203,Czechia,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),199,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
203,Czechia,2018,Net official development assistance to developing countries and multilateral organizations (millions of US$),305,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
203,Czechia,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),309,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
203,Czechia,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),300,Estimate.,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021."
203,Czechia,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.11,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
203,Czechia,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.13,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
203,Czechia,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.12,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
208,Denmark,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),205,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
208,Denmark,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),440,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
208,Denmark,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),1623,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
208,Denmark,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),2109,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
208,Denmark,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),2871,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
208,Denmark,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),2566,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
208,Denmark,2018,Net official development assistance to developing countries and multilateral organizations (millions of US$),2577,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
208,Denmark,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),2541,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
208,Denmark,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),2638,Estimate.,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021."
208,Denmark,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.55,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed August 2021.",
