Region/Country/Area,,Year,Series,Value,Footnotes,Source,,
1,"Total, all countries or areas",2015,"Asylum seekers, including pending cases (number)",2343919,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
1,"Total, all countries or areas",2015,Other of concern to UNHCR (number),40518150,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
1,"Total, all countries or areas",2015,Total population of concern to UNHCR (number),57959702,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
1,"Total, all countries or areas",2020,International migrant stock: Both sexes (number),280598105,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
1,"Total, all countries or areas",2020,International migrant stock: Both sexes (% total population),3.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
1,"Total, all countries or areas",2020,International migrant stock: Male (% total Population),3.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
1,"Total, all countries or areas",2020,International migrant stock: Female (% total Population),3.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
1,"Total, all countries or areas",2020,Total refugees and people in refugee-like situations (number),20677233,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
1,"Total, all countries or areas",2020,"Asylum seekers, including pending cases (number)",4177842,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
1,"Total, all countries or areas",2020,Other of concern to UNHCR (number),58976407,"Including Venezuelans displaced abroad.;Exclude 1122390 Stateless persons of Rohingya ethnicity in Bangladesh, India, Indonesia, Malaysia, Myanmar, Nepal, Pakistan, Sri Lanka, and Thailand.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
1,"Total, all countries or areas",2020,Total population of concern to UNHCR (number),83831482,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
2,Africa,2005,International migrant stock: Both sexes (number),16040087,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
2,Africa,2005,International migrant stock: Both sexes (% total population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
2,Africa,2005,International migrant stock: Male (% total Population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
2,Africa,2005,International migrant stock: Female (% total Population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
2,Africa,2010,International migrant stock: Both sexes (number),17806677,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
2,Africa,2010,International migrant stock: Both sexes (% total population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
2,Africa,2010,International migrant stock: Male (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
2,Africa,2010,International migrant stock: Female (% total Population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
2,Africa,2015,International migrant stock: Both sexes (number),22860792,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
2,Africa,2015,International migrant stock: Both sexes (% total population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
2,Africa,2015,International migrant stock: Male (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
2,Africa,2015,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
2,Africa,2015,Total refugees and people in refugee-like situations (number),4493139,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
2,Africa,2015,"Asylum seekers, including pending cases (number)",1044031,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
2,Africa,2015,Other of concern to UNHCR (number),11530138,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
2,Africa,2015,Total population of concern to UNHCR (number),17067308,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
2,Africa,2020,International migrant stock: Both sexes (number),25389464,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
2,Africa,2020,International migrant stock: Both sexes (% total population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
2,Africa,2020,International migrant stock: Male (% total Population),2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
2,Africa,2020,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
2,Africa,2020,Total refugees and people in refugee-like situations (number),6999300,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
2,Africa,2020,"Asylum seekers, including pending cases (number)",617584,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
2,Africa,2020,Other of concern to UNHCR (number),24919267,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
2,Africa,2020,Total population of concern to UNHCR (number),32536151,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
15,Northern Africa,2005,International migrant stock: Both sexes (number),1749718,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
15,Northern Africa,2005,International migrant stock: Both sexes (% total population),0.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
15,Northern Africa,2010,International migrant stock: Both sexes (number),1952040,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
15,Northern Africa,2010,International migrant stock: Both sexes (% total population),1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
15,Northern Africa,2015,International migrant stock: Both sexes (number),2138918,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
15,Northern Africa,2015,International migrant stock: Both sexes (% total population),1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
15,Northern Africa,2020,International migrant stock: Both sexes (number),3167926,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
15,Northern Africa,2020,International migrant stock: Both sexes (% total population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
202,Sub-Saharan Africa,2005,International migrant stock: Both sexes (number),14290369,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
202,Sub-Saharan Africa,2005,International migrant stock: Both sexes (% total population),2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
202,Sub-Saharan Africa,2005,International migrant stock: Male (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
202,Sub-Saharan Africa,2005,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
202,Sub-Saharan Africa,2010,International migrant stock: Both sexes (number),15854637,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
202,Sub-Saharan Africa,2010,International migrant stock: Both sexes (% total population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
202,Sub-Saharan Africa,2010,International migrant stock: Male (% total Population),2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
202,Sub-Saharan Africa,2010,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
202,Sub-Saharan Africa,2015,International migrant stock: Both sexes (number),20721874,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
202,Sub-Saharan Africa,2015,International migrant stock: Both sexes (% total population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
202,Sub-Saharan Africa,2015,International migrant stock: Male (% total Population),2.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
202,Sub-Saharan Africa,2015,International migrant stock: Female (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
202,Sub-Saharan Africa,2020,International migrant stock: Both sexes (number),22221538,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
202,Sub-Saharan Africa,2020,International migrant stock: Both sexes (% total population),2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
202,Sub-Saharan Africa,2020,International migrant stock: Male (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
202,Sub-Saharan Africa,2020,International migrant stock: Female (% total Population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
14,Eastern Africa,2005,International migrant stock: Both sexes (number),4788649,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
14,Eastern Africa,2005,International migrant stock: Both sexes (% total population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
14,Eastern Africa,2005,International migrant stock: Male (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
14,Eastern Africa,2005,International migrant stock: Female (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
14,Eastern Africa,2010,International migrant stock: Both sexes (number),4743657,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
14,Eastern Africa,2010,International migrant stock: Both sexes (% total population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
14,Eastern Africa,2010,International migrant stock: Male (% total Population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
14,Eastern Africa,2010,International migrant stock: Female (% total Population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
14,Eastern Africa,2015,International migrant stock: Both sexes (number),6696922,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
14,Eastern Africa,2015,International migrant stock: Both sexes (% total population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
14,Eastern Africa,2015,International migrant stock: Male (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
14,Eastern Africa,2015,International migrant stock: Female (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
14,Eastern Africa,2020,International migrant stock: Both sexes (number),7682801,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
14,Eastern Africa,2020,International migrant stock: Both sexes (% total population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
14,Eastern Africa,2020,International migrant stock: Male (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
14,Eastern Africa,2020,International migrant stock: Female (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
17,Middle Africa,2005,International migrant stock: Both sexes (number),1961951,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
17,Middle Africa,2005,International migrant stock: Both sexes (% total population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
17,Middle Africa,2005,International migrant stock: Male (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
17,Middle Africa,2005,International migrant stock: Female (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
17,Middle Africa,2010,International migrant stock: Both sexes (number),2436802,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
17,Middle Africa,2010,International migrant stock: Both sexes (% total population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
17,Middle Africa,2010,International migrant stock: Male (% total Population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
17,Middle Africa,2010,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
17,Middle Africa,2015,International migrant stock: Both sexes (number),3479911,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
17,Middle Africa,2015,International migrant stock: Both sexes (% total population),2.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
17,Middle Africa,2015,International migrant stock: Male (% total Population),2.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
17,Middle Africa,2015,International migrant stock: Female (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
17,Middle Africa,2020,International migrant stock: Both sexes (number),3861568,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
17,Middle Africa,2020,International migrant stock: Both sexes (% total population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
17,Middle Africa,2020,International migrant stock: Male (% total Population),2.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
17,Middle Africa,2020,International migrant stock: Female (% total Population),2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
18,Southern Africa,2005,International migrant stock: Both sexes (number),1582721,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
18,Southern Africa,2005,International migrant stock: Both sexes (% total population),2.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
18,Southern Africa,2005,International migrant stock: Male (% total Population),3.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
18,Southern Africa,2005,International migrant stock: Female (% total Population),2.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
18,Southern Africa,2010,International migrant stock: Both sexes (number),2352541,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
18,Southern Africa,2010,International migrant stock: Both sexes (% total population),4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
18,Southern Africa,2010,International migrant stock: Male (% total Population),4.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
18,Southern Africa,2010,International migrant stock: Female (% total Population),3.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
18,Southern Africa,2015,International migrant stock: Both sexes (number),3477903,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
18,Southern Africa,2015,International migrant stock: Both sexes (% total population),5.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
18,Southern Africa,2015,International migrant stock: Male (% total Population),6.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
18,Southern Africa,2015,International migrant stock: Female (% total Population),4.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
18,Southern Africa,2020,International migrant stock: Both sexes (number),3125072,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
18,Southern Africa,2020,International migrant stock: Both sexes (% total population),4.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
18,Southern Africa,2020,International migrant stock: Male (% total Population),5.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
18,Southern Africa,2020,International migrant stock: Female (% total Population),3.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
11,Western Africa,2005,International migrant stock: Both sexes (number),5957048,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
11,Western Africa,2005,International migrant stock: Both sexes (% total population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
11,Western Africa,2005,International migrant stock: Male (% total Population),2.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
11,Western Africa,2005,International migrant stock: Female (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
11,Western Africa,2010,International migrant stock: Both sexes (number),6321637,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
11,Western Africa,2010,International migrant stock: Both sexes (% total population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
11,Western Africa,2010,International migrant stock: Male (% total Population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
11,Western Africa,2010,International migrant stock: Female (% total Population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
11,Western Africa,2015,International migrant stock: Both sexes (number),7067138,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
11,Western Africa,2015,International migrant stock: Both sexes (% total population),2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
11,Western Africa,2015,International migrant stock: Male (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
11,Western Africa,2015,International migrant stock: Female (% total Population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
11,Western Africa,2020,International migrant stock: Both sexes (number),7552097,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
11,Western Africa,2020,International migrant stock: Both sexes (% total population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
11,Western Africa,2020,International migrant stock: Male (% total Population),2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
11,Western Africa,2020,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
21,Northern America,2005,International migrant stock: Both sexes (number),45363089,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
21,Northern America,2005,International migrant stock: Both sexes (% total population),13.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
21,Northern America,2005,International migrant stock: Male (% total Population),14,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
21,Northern America,2005,International migrant stock: Female (% total Population),13.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
21,Northern America,2010,International migrant stock: Both sexes (number),50970524,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
21,Northern America,2010,International migrant stock: Both sexes (% total population),14.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
21,Northern America,2010,International migrant stock: Male (% total Population),14.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
21,Northern America,2010,International migrant stock: Female (% total Population),15,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
21,Northern America,2015,International migrant stock: Both sexes (number),55633741,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
21,Northern America,2015,International migrant stock: Both sexes (% total population),15.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
21,Northern America,2015,International migrant stock: Male (% total Population),15.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
21,Northern America,2015,International migrant stock: Female (% total Population),15.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
21,Northern America,2015,Total refugees and people in refugee-like situations (number),416385,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
21,Northern America,2015,"Asylum seekers, including pending cases (number)",238989,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
21,Northern America,2015,Total population of concern to UNHCR (number),655374,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
21,Northern America,2019,Total refugees and people in refugee-like situations (number),420131,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
21,Northern America,2019,"Asylum seekers, including pending cases (number)",809134,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
21,Northern America,2019,Other of concern to UNHCR (number),3790,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
21,Northern America,2019,Total population of concern to UNHCR (number),1233055,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
21,Northern America,2020,International migrant stock: Both sexes (number),58708795,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
21,Northern America,2020,International migrant stock: Both sexes (% total population),15.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
21,Northern America,2020,International migrant stock: Male (% total Population),15.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
21,Northern America,2020,International migrant stock: Female (% total Population),16.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
419,Latin America & the Caribbean,2005,International migrant stock: Both sexes (number),7184113,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
419,Latin America & the Caribbean,2005,International migrant stock: Both sexes (% total population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
419,Latin America & the Caribbean,2005,International migrant stock: Male (% total Population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
419,Latin America & the Caribbean,2005,International migrant stock: Female (% total Population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
419,Latin America & the Caribbean,2010,International migrant stock: Both sexes (number),8326588,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
419,Latin America & the Caribbean,2010,International migrant stock: Both sexes (% total population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
419,Latin America & the Caribbean,2010,International migrant stock: Male (% total Population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
419,Latin America & the Caribbean,2010,International migrant stock: Female (% total Population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
419,Latin America & the Caribbean,2015,International migrant stock: Both sexes (number),9441503,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
419,Latin America & the Caribbean,2015,International migrant stock: Both sexes (% total population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
419,Latin America & the Caribbean,2015,International migrant stock: Male (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
419,Latin America & the Caribbean,2015,International migrant stock: Female (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
419,Latin America & the Caribbean,2015,Total refugees and people in refugee-like situations (number),336552,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
419,Latin America & the Caribbean,2015,"Asylum seekers, including pending cases (number)",37378,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
419,Latin America & the Caribbean,2015,Other of concern to UNHCR (number),6697290,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
419,Latin America & the Caribbean,2015,Total population of concern to UNHCR (number),7071220,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
419,Latin America & the Caribbean,2019,Total refugees and people in refugee-like situations (number),220962,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
419,Latin America & the Caribbean,2019,"Asylum seekers, including pending cases (number)",759306,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
419,Latin America & the Caribbean,2019,Other of concern to UNHCR (number),12450136,Including Venezuelans displaced abroad.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
419,Latin America & the Caribbean,2019,Total population of concern to UNHCR (number),13430404,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
419,Latin America & the Caribbean,2020,International migrant stock: Both sexes (number),14794623,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
