Region/Country/Area,,Year,Series,Value,Footnotes,Source,,
8,Albania,2016,Current health expenditure (% of GDP),4.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
8,Albania,2017,Current health expenditure (% of GDP),5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
8,Albania,2018,Current health expenditure (% of GDP),5.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
8,Albania,2000,Domestic general government health expenditure (% of total government expenditure),8.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
8,Albania,2005,Domestic general government health expenditure (% of total government expenditure),9.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
8,Albania,2010,Domestic general government health expenditure (% of total government expenditure),8.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
8,Albania,2016,Domestic general government health expenditure (% of total government expenditure),9.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
8,Albania,2017,Domestic general government health expenditure (% of total government expenditure),9.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
8,Albania,2018,Domestic general government health expenditure (% of total government expenditure),9.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
12,Algeria,2000,Current health expenditure (% of GDP),3.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
12,Algeria,2005,Current health expenditure (% of GDP),3.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
12,Algeria,2010,Current health expenditure (% of GDP),5.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
12,Algeria,2016,Current health expenditure (% of GDP),6.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
12,Algeria,2017,Current health expenditure (% of GDP),6.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
12,Algeria,2018,Current health expenditure (% of GDP),6.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
12,Algeria,2000,Domestic general government health expenditure (% of total government expenditure),8.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
12,Algeria,2005,Domestic general government health expenditure (% of total government expenditure),8.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
12,Algeria,2010,Domestic general government health expenditure (% of total government expenditure),9.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
12,Algeria,2016,Domestic general government health expenditure (% of total government expenditure),10.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
12,Algeria,2017,Domestic general government health expenditure (% of total government expenditure),10.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
12,Algeria,2018,Domestic general government health expenditure (% of total government expenditure),10.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
20,Andorra,2000,Current health expenditure (% of GDP),5.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
20,Andorra,2005,Current health expenditure (% of GDP),5.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
20,Andorra,2010,Current health expenditure (% of GDP),6.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
20,Andorra,2016,Current health expenditure (% of GDP),6.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
20,Andorra,2017,Current health expenditure (% of GDP),6.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
20,Andorra,2018,Current health expenditure (% of GDP),6.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
20,Andorra,2000,Domestic general government health expenditure (% of total government expenditure),30.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
20,Andorra,2005,Domestic general government health expenditure (% of total government expenditure),19.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
20,Andorra,2010,Domestic general government health expenditure (% of total government expenditure),19.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
20,Andorra,2016,Domestic general government health expenditure (% of total government expenditure),10.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
20,Andorra,2017,Domestic general government health expenditure (% of total government expenditure),12.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
20,Andorra,2018,Domestic general government health expenditure (% of total government expenditure),18.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
24,Angola,2000,Current health expenditure (% of GDP),1.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
24,Angola,2005,Current health expenditure (% of GDP),2.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
24,Angola,2010,Current health expenditure (% of GDP),2.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
24,Angola,2016,Current health expenditure (% of GDP),2.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
24,Angola,2017,Current health expenditure (% of GDP),2.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
24,Angola,2018,Current health expenditure (% of GDP),2.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
24,Angola,2000,Domestic general government health expenditure (% of total government expenditure),2.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
24,Angola,2005,Domestic general government health expenditure (% of total government expenditure),4.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
24,Angola,2010,Domestic general government health expenditure (% of total government expenditure),4.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
24,Angola,2016,Domestic general government health expenditure (% of total government expenditure),5.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
24,Angola,2017,Domestic general government health expenditure (% of total government expenditure),5.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
24,Angola,2018,Domestic general government health expenditure (% of total government expenditure),5.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
28,Antigua and Barbuda,2000,Current health expenditure (% of GDP),4.7,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
28,Antigua and Barbuda,2005,Current health expenditure (% of GDP),5,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
28,Antigua and Barbuda,2010,Current health expenditure (% of GDP),5.4,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
28,Antigua and Barbuda,2016,Current health expenditure (% of GDP),5.1,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
28,Antigua and Barbuda,2017,Current health expenditure (% of GDP),5.2,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
28,Antigua and Barbuda,2018,Current health expenditure (% of GDP),5.2,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
28,Antigua and Barbuda,2000,Domestic general government health expenditure (% of total government expenditure),11.9,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
28,Antigua and Barbuda,2005,Domestic general government health expenditure (% of total government expenditure),11.5,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
28,Antigua and Barbuda,2010,Domestic general government health expenditure (% of total government expenditure),13.9,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
28,Antigua and Barbuda,2016,Domestic general government health expenditure (% of total government expenditure),11.6,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
28,Antigua and Barbuda,2017,Domestic general government health expenditure (% of total government expenditure),11.8,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
28,Antigua and Barbuda,2018,Domestic general government health expenditure (% of total government expenditure),11.7,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
32,Argentina,2000,Current health expenditure (% of GDP),8.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
32,Argentina,2005,Current health expenditure (% of GDP),7.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
32,Argentina,2010,Current health expenditure (% of GDP),9.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
32,Argentina,2016,Current health expenditure (% of GDP),9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
32,Argentina,2017,Current health expenditure (% of GDP),10.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
32,Argentina,2018,Current health expenditure (% of GDP),9.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
32,Argentina,2000,Domestic general government health expenditure (% of total government expenditure),17.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
32,Argentina,2005,Domestic general government health expenditure (% of total government expenditure),16,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
32,Argentina,2010,Domestic general government health expenditure (% of total government expenditure),16.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
32,Argentina,2016,Domestic general government health expenditure (% of total government expenditure),13.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
32,Argentina,2017,Domestic general government health expenditure (% of total government expenditure),16,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
32,Argentina,2018,Domestic general government health expenditure (% of total government expenditure),15.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
51,Armenia,2000,Current health expenditure (% of GDP),4.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
51,Armenia,2005,Current health expenditure (% of GDP),5.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
51,Armenia,2010,Current health expenditure (% of GDP),9.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
51,Armenia,2016,Current health expenditure (% of GDP),10,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
51,Armenia,2017,Current health expenditure (% of GDP),10.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
51,Armenia,2018,Current health expenditure (% of GDP),10,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
51,Armenia,2000,Domestic general government health expenditure (% of total government expenditure),3.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
51,Armenia,2005,Domestic general government health expenditure (% of total government expenditure),7.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
51,Armenia,2010,Domestic general government health expenditure (% of total government expenditure),6.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
51,Armenia,2016,Domestic general government health expenditure (% of total government expenditure),6.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
51,Armenia,2017,Domestic general government health expenditure (% of total government expenditure),5.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
51,Armenia,2018,Domestic general government health expenditure (% of total government expenditure),5.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
36,Australia,2000,Current health expenditure (% of GDP),7.6,"Since Australian HA T-2 covers fiscal year T-2/T-1, the estimation for year T-2 are done to be published in December year T .","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
36,Australia,2005,Current health expenditure (% of GDP),8,"Since Australian HA T-2 covers fiscal year T-2/T-1, the estimation for year T-2 are done to be published in December year T .","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
36,Australia,2010,Current health expenditure (% of GDP),8.4,"Since Australian HA T-2 covers fiscal year T-2/T-1, the estimation for year T-2 are done to be published in December year T .","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
36,Australia,2016,Current health expenditure (% of GDP),9.2,"Since Australian HA T-2 covers fiscal year T-2/T-1, the estimation for year T-2 are done to be published in December year T .","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
36,Australia,2017,Current health expenditure (% of GDP),9.2,"Since Australian HA T-2 covers fiscal year T-2/T-1, the estimation for year T-2 are done to be published in December year T .","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
36,Australia,2018,Current health expenditure (% of GDP),9.3,"Since Australian HA T-2 covers fiscal year T-2/T-1, the estimation for year T-2 are done to be published in December year T .","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
36,Australia,2000,Domestic general government health expenditure (% of total government expenditure),15.9,"Since Australian HA T-2 covers fiscal year T-2/T-1, the estimation for year T-2 are done to be published in December year T .","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
36,Australia,2005,Domestic general government health expenditure (% of total government expenditure),17.2,"Since Australian HA T-2 covers fiscal year T-2/T-1, the estimation for year T-2 are done to be published in December year T .","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
36,Australia,2010,Domestic general government health expenditure (% of total government expenditure),17.1,"Since Australian HA T-2 covers fiscal year T-2/T-1, the estimation for year T-2 are done to be published in December year T .","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
36,Australia,2016,Domestic general government health expenditure (% of total government expenditure),17.5,"Since Australian HA T-2 covers fiscal year T-2/T-1, the estimation for year T-2 are done to be published in December year T .","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
36,Australia,2017,Domestic general government health expenditure (% of total government expenditure),17.7,"Since Australian HA T-2 covers fiscal year T-2/T-1, the estimation for year T-2 are done to be published in December year T .","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
36,Australia,2018,Domestic general government health expenditure (% of total government expenditure),17.9,"Since Australian HA T-2 covers fiscal year T-2/T-1, the estimation for year T-2 are done to be published in December year T .","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
40,Austria,2000,Current health expenditure (% of GDP),9.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
40,Austria,2005,Current health expenditure (% of GDP),9.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
40,Austria,2010,Current health expenditure (% of GDP),10.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
40,Austria,2016,Current health expenditure (% of GDP),10.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
40,Austria,2017,Current health expenditure (% of GDP),10.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
40,Austria,2018,Current health expenditure (% of GDP),10.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
40,Austria,2000,Domestic general government health expenditure (% of total government expenditure),13.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
40,Austria,2005,Domestic general government health expenditure (% of total government expenditure),13.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
40,Austria,2010,Domestic general government health expenditure (% of total government expenditure),14,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
40,Austria,2016,Domestic general government health expenditure (% of total government expenditure),15,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
40,Austria,2017,Domestic general government health expenditure (% of total government expenditure),15.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
40,Austria,2018,Domestic general government health expenditure (% of total government expenditure),15.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
31,Azerbaijan,2000,Current health expenditure (% of GDP),2.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
31,Azerbaijan,2005,Current health expenditure (% of GDP),2.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
31,Azerbaijan,2010,Current health expenditure (% of GDP),2.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
31,Azerbaijan,2016,Current health expenditure (% of GDP),4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
31,Azerbaijan,2017,Current health expenditure (% of GDP),3.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
31,Azerbaijan,2018,Current health expenditure (% of GDP),3.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
31,Azerbaijan,2000,Domestic general government health expenditure (% of total government expenditure),4.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
31,Azerbaijan,2005,Domestic general government health expenditure (% of total government expenditure),4.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
31,Azerbaijan,2010,Domestic general government health expenditure (% of total government expenditure),3.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
31,Azerbaijan,2016,Domestic general government health expenditure (% of total government expenditure),3.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
31,Azerbaijan,2017,Domestic general government health expenditure (% of total government expenditure),2.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
31,Azerbaijan,2018,Domestic general government health expenditure (% of total government expenditure),2.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
44,Bahamas,2000,Current health expenditure (% of GDP),3.8,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
44,Bahamas,2005,Current health expenditure (% of GDP),4,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
44,Bahamas,2010,Current health expenditure (% of GDP),5.3,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
44,Bahamas,2016,Current health expenditure (% of GDP),5.6,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
44,Bahamas,2017,Current health expenditure (% of GDP),6.8,Data revision.,Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",
44,Bahamas,2018,Current health expenditure (% of GDP),6.2,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
44,Bahamas,2000,Domestic general government health expenditure (% of total government expenditure),12.8,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
44,Bahamas,2005,Domestic general government health expenditure (% of total government expenditure),12.9,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
44,Bahamas,2010,Domestic general government health expenditure (% of total government expenditure),14.6,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
44,Bahamas,2016,Domestic general government health expenditure (% of total government expenditure),14.6,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
44,Bahamas,2017,Domestic general government health expenditure (% of total government expenditure),16.9,Data revision.,Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",
44,Bahamas,2018,Domestic general government health expenditure (% of total government expenditure),15.9,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
48,Bahrain,2000,Current health expenditure (% of GDP),3.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
48,Bahrain,2005,Current health expenditure (% of GDP),3.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
48,Bahrain,2010,Current health expenditure (% of GDP),3.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
48,Bahrain,2016,Current health expenditure (% of GDP),4.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
48,Bahrain,2017,Current health expenditure (% of GDP),4.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
48,Bahrain,2018,Current health expenditure (% of GDP),4.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
48,Bahrain,2000,Domestic general government health expenditure (% of total government expenditure),10.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
48,Bahrain,2005,Domestic general government health expenditure (% of total government expenditure),8.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
48,Bahrain,2010,Domestic general government health expenditure (% of total government expenditure),8.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
48,Bahrain,2016,Domestic general government health expenditure (% of total government expenditure),8.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
48,Bahrain,2017,Domestic general government health expenditure (% of total government expenditure),8.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
48,Bahrain,2018,Domestic general government health expenditure (% of total government expenditure),7.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
50,Bangladesh,2000,Current health expenditure (% of GDP),2,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
50,Bangladesh,2005,Current health expenditure (% of GDP),2.3,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
50,Bangladesh,2010,Current health expenditure (% of GDP),2.5,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
50,Bangladesh,2016,Current health expenditure (% of GDP),2.3,Data revision.,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",
50,Bangladesh,2017,Current health expenditure (% of GDP),2.3,Data revision.,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",
50,Bangladesh,2018,Current health expenditure (% of GDP),2.3,Data revision.,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",
50,Bangladesh,2000,Domestic general government health expenditure (% of total government expenditure),5.2,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
50,Bangladesh,2005,Domestic general government health expenditure (% of total government expenditure),4.4,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
50,Bangladesh,2010,Domestic general government health expenditure (% of total government expenditure),4.4,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
50,Bangladesh,2016,Domestic general government health expenditure (% of total government expenditure),3,Data revision.,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",
50,Bangladesh,2017,Domestic general government health expenditure (% of total government expenditure),3,Data revision.,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",
50,Bangladesh,2018,Domestic general government health expenditure (% of total government expenditure),3,Data revision.,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",
52,Barbados,2000,Current health expenditure (% of GDP),5.3,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
52,Barbados,2005,Current health expenditure (% of GDP),6.8,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
52,Barbados,2010,Current health expenditure (% of GDP),6.8,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
52,Barbados,2016,Current health expenditure (% of GDP),6.7,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2021.",,
