Country or Area,Year,Value,Value Footnotes,Unit
Cuba,2008,92.4000015258789,,%
Cuba,2007,92.3600006103516,,%
Cuba,2006,92.0999984741211,,%
Cuba,2005,91.6041870117188,,%
Cuba,2004,91.5999984741211,,%
Cyprus,2015,100,,%
Cyprus,2014,100,,%
Cyprus,2013,100,,%
Cyprus,2012,100,,%
Cyprus,2011,100,,%
Cyprus,2010,100,,%
Cyprus,2009,100,,%
Cyprus,2008,100,,%
Cyprus,2007,100,,%
Cyprus,2006,100,,%
Cyprus,2005,100,,%
Cyprus,2004,100,,%
Cyprus,2003,100,,%
Cyprus,2002,100,,%
Cyprus,2001,100,,%
Cyprus,2000,100,,%
Cyprus,1995,100,,%
Cyprus,1990,100,,%
Czechia,2015,94.1999969482422,,%
Czechia,2014,94.1999969482422,,%
Czechia,2013,93.6999969482422,,%
Czechia,2012,93.5999984741211,,%
Czechia,2011,93.5,,%
Czechia,2010,92.8000030517578,,%
Czechia,2009,92.8000030517578,,%
Czechia,2008,92.3000030517578,,%
Czechia,2007,92.3000030517578,,%
Czechia,2006,92.4000015258789,,%
Czechia,2005,91.5999984741211,,%
Czechia,2004,91.5999984741211,,%
Czechia,2003,89.8000030517578,,%
Czechia,2002,89.8000030517578,,%
Czechia,2001,87.3000030517578,,%
Czechia,2000,87.0999984741211,,%
Denmark,2002,97,,%
Denmark,2001,95,,%
Ecuador,2012,74.5299987792969,,%
Ecuador,2011,72.6699981689453,,%
Ecuador,2010,71.8199996948242,,%
Ecuador,2009,69.379997253418,,%
Ecuador,2008,71.75,,%
Ecuador,2007,71.6500015258789,,%
Ecuador,2006,68.9599990844727,,%
Ecuador,2005,69.25,,%
Egypt,2015,98,,%
Egypt,2009,98,,%
Estonia,2013,82.1999969482422,,%
Estonia,2012,81.6999969482422,,%
Estonia,2011,81.6999969482422,,%
Estonia,2010,81.5999984741211,,%
Estonia,2009,80,,%
Estonia,2008,80,,%
Estonia,2007,74,,%
Estonia,2006,72,,%
Estonia,2005,72,,%
Estonia,2004,72,,%
Estonia,2003,72,,%
Estonia,2002,72,,%
Estonia,2001,71,,%
Estonia,2000,70,,%
Finland,2012,92,,%
Finland,2011,91,,%
France,2013,99,,%
France,2012,99,,%
France,2011,99,,%
France,2010,99,,%
France,2008,99,,%
France,2001,99.4000015258789,,%
French Guiana,2012,68,,%
Gambia,2005,50,,%
Gambia,2004,50,,%
Gambia,2003,50,,%
Gambia,2002,30,,%
Gambia,2001,30,,%
Gambia,2000,30,,%
Gambia,1995,27,,%
Gambia,1990,27,,%
Georgia,2012,75,,%
Georgia,2011,74.9000015258789,,%
Georgia,2010,74.3000030517578,,%
Georgia,2009,72.3000030517578,,%
Georgia,2008,70.4000015258789,,%
Georgia,2000,80,,%
Germany,2013,99.3320007324219,,%
Germany,2012,99.3199996948242,6,%
Germany,2011,99.3089981079102,6,%
Germany,2010,99.2979965209961,,%
Germany,2007,99.1999969482422,,%
Germany,2004,99.1999969482422,,%
Germany,2001,99.0999984741211,,%
Greece,2007,94,,%
Greece,2006,92,,%
Greece,2005,91,,%
Greece,2004,90,,%
Greece,2003,89,,%
Greece,2002,88,,%
Greece,2001,87,,%
Greece,2000,85,,%
Guadeloupe,2012,76,,%
Guatemala,2011,74.9000015258789,,%
Guatemala,2002,74.5999984741211,,%
Guatemala,1995,68.4000015258789,,%
Hungary,2013,100,6,%
Hungary,2012,100,6,%
Hungary,2011,100,6,%
Hungary,2010,100,6,%
Hungary,2009,100,6,%
Hungary,2008,100,6,%
Hungary,2007,100,6,%
Hungary,2006,99.9000015258789,6,%
Hungary,2005,99.9000015258789,6,%
Hungary,2004,99.9000015258789,,%
Hungary,2003,99.9000015258789,,%
Hungary,2002,99.9000015258789,,%
Hungary,2001,99.9000015258789,,%
Hungary,2000,99.9000015258789,,%
Hungary,1995,90,,%
Iceland,2014,95,,%
Iceland,2013,95,,%
Iceland,2012,95,,%
Iceland,2011,95,,%
Iceland,2010,95,,%
Iceland,2005,95,,%
Iceland,2004,95,,%
Iceland,2003,95,,%
Iceland,2002,95,,%
Iceland,2001,95,,%
Iceland,2000,95,,%
Iraq,2015,86.8000030517578,,%
Iraq,2014,88,,%
Iraq,2013,87,,%
Iraq,2012,85,,%
Iraq,2011,84,,%
Iraq,2010,78.6999969482422,,%
Iraq,2005,73.6999969482422,,%
Ireland,2007,85,,%
Ireland,2005,83,,%
Ireland,2002,90,,%
Jamaica,2005,70,,%
Jordan,2014,96.6999969482422,,%
Jordan,2013,96.6999969482422,,%
Jordan,2010,97.6999969482422,,%
Kazakhstan,2015,90.9000015258789,,%
Kazakhstan,2014,90.4000015258789,,%
Kazakhstan,2013,89.5999984741211,,%
Kazakhstan,2012,87.6999969482422,,%
Kazakhstan,2011,87.6999969482422,,%
Kazakhstan,2010,82.5,,%
Kazakhstan,2009,82,,%
Kazakhstan,2008,81.8000030517578,,%
Kazakhstan,2007,79.3000030517578,,%
Kazakhstan,2006,78.6999969482422,,%
Kazakhstan,2005,77.4000015258789,,%
Kazakhstan,2004,76.4000015258789,,%
Kenya,2007,31,,%
Kenya,2006,31,,%
Kenya,2005,31,,%
Kenya,2004,31,,%
Kenya,2003,31,,%
Kenya,2002,31,,%
Kenya,2001,31,,%
Kenya,2000,31,,%
Kenya,1999,31,,%
Kenya,1998,31,,%
Kenya,1997,31,,%
Kenya,1996,31,,%
Kenya,1995,31,,%
Kenya,1990,31,,%
Kuwait,2013,100,,%
Kuwait,2012,100,,%
Kuwait,2011,100,,%
Kuwait,2010,100,,%
Kuwait,2009,100,,%
Kuwait,2008,100,,%
Kuwait,2007,100,,%
Kuwait,2006,100,,%
Kuwait,2005,100,,%
Kuwait,2004,100,,%
Kuwait,2003,100,,%
Kuwait,2002,100,,%
Kuwait,2001,100,,%
Kuwait,2000,100,,%
Kuwait,1995,100,,%
Kuwait,1990,100,,%
Lebanon,2005,75.5999984741211,,%
Lithuania,2015,80.2399978637695,,%
Lithuania,2014,79.4000015258789,,%
Lithuania,2013,77.5999984741211,,%
Lithuania,2012,76,,%
Lithuania,2011,75,,%
Lithuania,2010,74.5,,%
Lithuania,2004,76,,%
Lithuania,2003,76,,%
Lithuania,2002,76,,%
Luxembourg,2015,99.9000015258789,,%
Luxembourg,2013,99.9000015258789,,%
Luxembourg,2011,99.9000015258789,,%
Luxembourg,2010,99.9000015258789,,%
Luxembourg,2009,99.9000015258789,,%
Luxembourg,2008,99.9000015258789,,%
Luxembourg,2007,99.9000015258789,,%
Luxembourg,2006,99.9000015258789,,%
Luxembourg,2005,99.9000015258789,,%
Luxembourg,2004,99.9000015258789,,%
Luxembourg,2003,99.9000015258789,,%
Luxembourg,2002,99.9000015258789,,%
Luxembourg,2001,99.9000015258789,,%
Luxembourg,2000,99.9000015258789,,%
Malaysia,2015,95.5,,%
Malaysia,2014,95.3000030517578,,%
Malaysia,2013,95.0999984741211,,%
Malaysia,2012,94.6999969482422,,%
Malaysia,2011,94.4000015258789,,%
Malaysia,2010,94.1999969482422,,%
Malaysia,2009,92.906379699707,,%
Malaysia,2008,91.8499984741211,,%
Malaysia,2007,90.5338973999023,,%
Mali,2009,73.0999984741211,,%
Mali,2008,71.6999969482422,,%
Mali,2007,63.4000015258789,,%
Mali,2006,67.4000015258789,,%
Mali,2005,66.0999984741211,,%
Mali,2004,63.7999992370605,,%
Mali,2003,60.0999984741211,,%
Malta,2015,100,,%
Malta,2014,100,,%
Malta,2013,100,,%
Malta,2012,100,,%
Malta,2011,100,,%
Malta,2010,100,,%
Malta,2009,100,,%
Malta,2008,100,,%
Malta,2007,100,,%
Malta,2006,100,,%
Malta,2005,100,,%
Malta,2004,100,,%
Malta,2003,100,,%
Malta,2002,100,,%
Malta,2001,100,,%
Malta,2000,100,,%
Malta,1995,100,,%
Malta,1990,100,,%
Martinique,2012,100,9,%
Mauritius,2015,99.6999969482422,,%
Mauritius,2014,99.6999969482422,,%
Mauritius,2013,99.6999969482422,,%
Mauritius,2012,99.6999969482422,,%
Mauritius,2011,99.6999969482422,,%
Mauritius,2010,99.5,,%
Mauritius,2009,99.5,,%
Mauritius,2008,99.5,,%
Mauritius,2007,99.5,,%
Mauritius,2006,99,,%
Mauritius,2005,99,,%
Mauritius,2004,99,,%
Mauritius,2003,99,,%
Mauritius,2002,99,,%
Mauritius,2001,99,,%
Mauritius,2000,98.6999969482422,,%
Mauritius,1990,95.1999969482422,,%
Monaco,2015,100,,%
Monaco,2014,100,,%
Monaco,2013,100,,%
Monaco,2012,100,,%
Monaco,2011,100,,%
Monaco,2010,100,,%
Monaco,2009,100,,%
Monaco,2008,100,,%
Monaco,2007,100,,%
Monaco,2006,100,,%
Monaco,2005,100,,%
Monaco,2004,100,,%
Monaco,2003,100,,%
Monaco,2002,100,,%
Monaco,2001,100,,%
Monaco,2000,100,,%
Monaco,1999,100,,%
Monaco,1998,100,,%
Monaco,1997,100,,%
Monaco,1996,100,,%
Monaco,1995,100,,%
Monaco,1990,100,,%
Morocco,2014,83,10,%
Morocco,2013,81.5,10,%
Morocco,2012,80.1999969482422,10,%
Morocco,2011,79.5,10,%
Morocco,2010,77.5,10,%
Morocco,2009,76.5,10,%
Morocco,2008,76.3000030517578,10,%
Morocco,2007,73.4000015258789,10,%
Morocco,2006,71.9000015258789,10,%
Morocco,2005,70.9000015258789,10,%
Morocco,2004,57.9000015258789,10,%
Morocco,2003,67.3000030517578,,%
Morocco,2001,65.1999969482422,,%
Morocco,2000,62.7000007629395,,%
Netherlands,2014,100,,%
Netherlands,2013,100,,%
Netherlands,2012,100,,%
Netherlands,2011,100,,%
Netherlands,2010,100,,%
Netherlands,2009,100,,%
Netherlands,2008,100,,%
Netherlands,2007,100,,%
Netherlands,2006,100,,%
Netherlands,2005,100,,%
Netherlands,2004,100,,%
Netherlands,2003,100,,%
Netherlands,2002,100,,%
Netherlands,2001,100,,%
Netherlands,2000,100,,%
New Caledonia,2014,95,,%
New Caledonia,2009,90.6999969482422,,%
Nigeria,2010,56,,%
Norway,2015,89,11,%
Norway,2014,89,11,%
Norway,2013,89,,%
Norway,2012,89,,%
Norway,2011,89,,%
Norway,2010,88,,%
Norway,2009,89,,%
Norway,2008,90,,%
Norway,2007,90,,%
Norway,2006,90,,%
Norway,2005,90,,%
Norway,2004,89,,%
Norway,2003,89,,%
Norway,2002,89,,%
Norway,2001,88.5999984741211,,%
Norway,2000,89.1999969482422,,%
Panama,2015,77.5,12,%
Panama,2014,75.1999969482422,12,%
Panama,2013,73.5999984741211,12,%
Panama,2012,71.9000015258789,12,%
Panama,2011,70,12,%
Panama,2010,67.1999969482422,12,%
Panama,2009,91,12,%
Panama,2008,89,12,%
Panama,2007,88.4000015258789,12,%
Panama,2006,84,12,%
Panama,2005,83,12,%
Panama,2004,82,12,%
Panama,2003,75,12,%
Panama,2002,74,12,%
Panama,2001,71,12,%
Panama,2000,70,12,%
Paraguay,2015,81.9000015258789,,%
Paraguay,2014,81.0999984741211,,%
Paraguay,2013,79.1999969482422,,%
Paraguay,2012,76.9000015258789,,%
Paraguay,2011,74.8000030517578,,%
Paraguay,2010,75.1999969482422,,%
Paraguay,2009,73.5999984741211,,%
Paraguay,2008,68.9000015258789,,%
Paraguay,2007,69.0999984741211,,%
Paraguay,2006,65.5,,%
Paraguay,2005,60.5999984741211,,%
Paraguay,2004,57.9000015258789,,%
Paraguay,2003,58.7999992370605,,%
Paraguay,2002,53.2999992370605,,%
Paraguay,2001,52.5,,%
Peru,2015,85.8000030517578,,%
Peru,2014,85.6999969482422,,%
Peru,2013,83.0999984741211,,%
Peru,2012,82.3000030517578,,%
Peru,2011,76.8000030517578,,%
Peru,2010,76.1999969482422,,%
Peru,2009,74.0999984741211,,%
Peru,2008,72.4000015258789,,%
Peru,2007,72,,%
Peru,2006,71.5999984741211,,%
Peru,2005,70.0999984741211,,%
Peru,2004,70.4692840576172,,%
Peru,2003,66.098762512207,,%
Philippines,2004,80.1999969482422,,%
Philippines,2002,80,,%
Philippines,2000,79,,%
Philippines,1999,81.4000015258789,,%
Philippines,1998,78.0999984741211,,%
Philippines,1990,73,,%
Poland,2015,91.8000030517578,,%
Poland,2014,91.5999984741211,,%
Poland,2013,88,,%
Poland,2012,87.9000015258789,,%
Poland,2011,87.5999984741211,,%
Poland,2010,87.5,,%
Poland,2009,87.1999969482422,,%
Poland,2008,87,,%
Poland,2007,86.5999984741211,,%
Poland,2006,86.3000030517578,,%
Poland,2005,86.0999984741211,,%
Poland,2004,85.8000030517578,,%
Poland,2003,85.4000015258789,,%
Poland,2002,84.8000030517578,,%
Poland,2001,84.5,,%
Poland,2000,82.8000030517578,,%
Poland,1995,76.5,,%
Poland,1990,72,,%
Portugal,2009,96.9000015258789,,%
Portugal,2008,94,,%
Portugal,2007,92.0999984741211,,%
Portugal,2006,91.3000030517578,,%
Portugal,2005,91.5,,%
Republic of Moldova,2015,51.2000007629395,,%
Republic of Moldova,2014,45.9000015258789,,%
Republic of Moldova,2013,44.4000015258789,,%
Republic of Moldova,2012,42.0999984741211,,%
Romania,2015,63.7000007629395,,%
Romania,2014,62.5,,%
Romania,2013,61.4000015258789,,%
Romania,2012,60.2999992370605,,%
Romania,2011,56.5,,%
Romania,2010,55.7000007629395,,%
Romania,2009,54.9000015258789,,%
Romania,2008,53.0999984741211,,%
Romania,2007,49.2000007629395,,%
Romania,2002,54.2000007629395,,%
Rwanda,2010,74.1999969482422,,%
Rwanda,2005,70.3000030517578,,%
Samoa,2014,96,,%
Samoa,2013,95,,%
Samoa,2012,95,,%
Saudi Arabia,2013,98,,%
Saudi Arabia,2012,98,,%
Saudi Arabia,2011,97,,%
Saudi Arabia,2010,96,,%
Saudi Arabia,2009,96,,%
Saudi Arabia,2008,96,,%
Saudi Arabia,2007,96,,%
Saudi Arabia,2006,96,,%
Saudi Arabia,2005,96,,%
Saudi Arabia,2004,96,,%
Saudi Arabia,2003,96,,%
Saudi Arabia,2002,80,,%
Saudi Arabia,2001,80,,%
Saudi Arabia,2000,80,,%
Serbia,2015,82.879997253418,,%
Serbia,2014,83.6809997558594,,%
Serbia,2013,81.9440002441406,,%
Serbia,2012,80.1470031738281,,%
Serbia,2011,78.245002746582,,%
Serbia,2010,77.6630020141602,,%
Serbia,2009,77.838996887207,,%
Serbia,2008,77.2740020751953,,%
Serbia,2007,73.3690032958984,,%
Serbia,2006,72.4199981689453,13,%
Serbia,2005,71.1399993896484,13,%
Serbia,2004,69.870002746582,13,%
Serbia,2003,68.8300018310547,13,%
Serbia,2002,67.4100036621094,13,%
Serbia,2001,66.2200012207031,13,%
Serbia,2000,65.0400009155273,13,%
Singapore,2015,100,14,%
Singapore,2014,100,14,%
Singapore,2013,100,14,%
Singapore,2012,100,14,%
Singapore,2011,100,14,%
Singapore,2010,100,14,%
Singapore,2009,100,14,%
Singapore,2008,100,14,%
Singapore,2007,100,14,%
Singapore,2006,100,14,%
Singapore,2005,100,14,%
Singapore,2004,100,14,%
Singapore,2003,100,14,%
Singapore,2002,100,14,%
Singapore,2001,100,14,%
Singapore,2000,100,14,%
Singapore,1999,100,14,%
Singapore,1998,100,14,%
Singapore,1997,100,14,%
Singapore,1996,100,14,%
Singapore,1995,100,14,%
Singapore,1990,100,14,%
Slovakia,2015,88.3000030517578,,%
Slovakia,2014,87.6999969482422,,%
Slovakia,2013,87.4000015258789,,%
Slovakia,2012,87,,%
Slovakia,2011,86.9000015258789,,%
Slovakia,2010,86.5999984741211,,%
Slovakia,2009,86.3000030517578,,%
Slovakia,2008,86.3000030517578,,%
Slovakia,2007,86.5999984741211,,%
Slovakia,2006,86.3000030517578,,%
Slovakia,2005,85.4000015258789,,%
Slovakia,2004,84.6999969482422,,%
Slovakia,2003,84.1999969482422,,%
Slovakia,2002,83.9000015258789,,%
South Africa,2012,93.8000030517578,,%
South Africa,2011,93.5,,%
South Africa,2010,92.6999969482422,,%
South Africa,2009,90.5999984741211,,%
South Africa,2008,88.4000015258789,,%
South Africa,2007,85.8000030517578,,%
South Africa,2006,83.0999984741211,,%
South Africa,2005,81.0999984741211,,%
South Africa,2004,77.9000015258789,,%
South Africa,2003,73.9000015258789,,%
South Africa,2002,72,,%
South Africa,2001,70.8000030517578,,%
South Africa,2000,68,,%
Spain,2015,100,,%
Spain,2014,100,,%
Spain,2013,100,,%
Spain,2012,100,,%
Spain,2011,100,,%
Spain,2010,100,,%
Spain,2008,100,,%
Spain,2007,100,,%
Spain,2006,100,,%
Spain,2005,100,,%
Spain,2004,100,,%
Spain,2003,100,,%
Spain,2002,100,,%
Spain,2001,100,,%
Spain,2000,100,,%
State of Palestine,2015,94.9000015258789,,%
State of Palestine,2013,97.5,15,%
State of Palestine,2012,96.5999984741211,15,%
State of Palestine,2011,93.8000030517578,15,%
State of Palestine,2009,94.0999984741211,15,%
State of Palestine,2008,94.0999984741211,15,%
State of Palestine,2005,95.9000015258789,15,%
State of Palestine,2004,97.9000015258789,15,%
State of Palestine,2003,91.9000015258789,,%
State of Palestine,2002,93.8000030517578,,%
State of Palestine,1999,84.8000030517578,,%
Sudan,2011,60.5,,%
Sudan,2010,60,,%
Sudan,2009,59,,%
Sudan,2008,54,,%
Sudan,2006,58.7000007629395,,%
Sudan,2002,59.7999992370605,,%
Suriname,2012,67.8499984741211,16,%
Suriname,2004,66.7399978637695,16,%
Sweden,2010,86,,%
Sweden,2007,85.3000030517578,,%
Sweden,2006,85.3000030517578,,%
Sweden,2005,85.3000030517578,,%
Sweden,2000,84.9000015258789,,%
Switzerland,2012,99.1999969482422,,%
The former Yugoslav Republic of Macedonia,2008,95,,%
The former Yugoslav Republic of Macedonia,2007,95,,%
The former Yugoslav Republic of Macedonia,2006,95,,%
The former Yugoslav Republic of Macedonia,2005,94,,%
The former Yugoslav Republic of Macedonia,2004,94,,%
The former Yugoslav Republic of Macedonia,2003,94,,%
The former Yugoslav Republic of Macedonia,2002,93,,%
The former Yugoslav Republic of Macedonia,2001,93,,%
The former Yugoslav Republic of Macedonia,2000,93,,%
The former Yugoslav Republic of Macedonia,1999,93,,%
The former Yugoslav Republic of Macedonia,1995,90,,%
The former Yugoslav Republic of Macedonia,1990,90,,%
Trinidad and Tobago,2016,96.9000015258789,17,%
Trinidad and Tobago,2002,76.4000015258789,,%
