"Country or Area","Year","Value"
"Slovakia","2014","39912.5309428874"
"Slovakia","2013","41908.9774125622"
"Slovakia","2012","42355.7050973508"
"Slovakia","2011","44613.080884597"
"Slovakia","2010","45413.130118789"
"Slovakia","2009","44765.0148132285"
"Slovakia","2008","48961.2127894675"
"Slovakia","2007","48534.9033373882"
"Slovakia","2006","50339.0994710854"
"Slovakia","2005","50424.1228277849"
"Slovakia","2004","50485.1518838811"
"Slovakia","2003","49748.7981997566"
"Slovakia","2002","49598.4611145419"
"Slovakia","2001","50990.9111319019"
"Slovakia","2000","48735.354824613"
"Slovakia","1999","50638.2195803683"
"Slovakia","1998","52027.4771156291"
"Slovakia","1997","52714.8272952994"
"Slovakia","1996","52804.0858716286"
"Slovakia","1995","52971.0278126653"
"Slovakia","1994","52406.197617105"
"Slovakia","1993","54880.2900538766"
"Slovakia","1992","58298.2178583452"
"Slovakia","1991","64013.1309955029"
"Slovakia","1990","73473.934206374"
"Switzerland","2019","46229.8708248342"
"Switzerland","2018","46491.5248061315"
"Switzerland","2017","47990.574051938"
"Switzerland","2016","48830.6522567742"
"Switzerland","2015","48541.7275009301"
"Switzerland","2014","49005.5498390221"
"Switzerland","2013","52965.0773192897"
"Switzerland","2012","52084.4588041346"
"Switzerland","2011","50747.195704328"
"Switzerland","2010","54864.3944366564"
"Switzerland","2009","53228.2462262425"
"Switzerland","2008","54687.717223163"
"Switzerland","2007","53272.6736274498"
"Switzerland","2006","55190.6711428119"
"Switzerland","2005","55503.2362642186"
"Switzerland","2004","54848.8895549081"
"Switzerland","2003","54254.0772889248"
"Switzerland","2002","53172.9696650853"
"Switzerland","2001","54679.8076741535"
"Switzerland","2000","53146.1826820792"
"Switzerland","1999","53862.7497370932"
"Switzerland","1998","54028.8088958778"
"Switzerland","1997","52485.1405463697"
"Switzerland","1996","53662.8295590083"
"Switzerland","1995","52984.7161117926"
"Switzerland","1994","52075.3901682033"
"Switzerland","1993","53094.8481798891"
"Switzerland","1992","55674.5002113401"
"Switzerland","1991","55934.0334812031"
"Switzerland","1990","54042.6469346919"

